Packet count: 6, Throughput: 0.75 pps
Packet count: 11, Throughput: 0.63 pps
Packet count: 17, Throughput: 0.75 pps
Packet count: 21, Throughput: 0.50 pps
Packet count: 25, Throughput: 0.50 pps
Packet count: 31, Throughput: 0.75 pps
Packet count: 35, Throughput: 0.50 pps
Packet count: 40, Throughput: 0.63 pps
Packet count: 46, Throughput: 0.75 pps
Packet count: 51, Throughput: 0.63 pps
Packet count: 56, Throughput: 0.63 pps
Packet count: 60, Throughput: 0.50 pps
Packet count: 64, Throughput: 0.50 pps
Packet count: 69, Throughput: 0.63 pps
Packet count: 73, Throughput: 0.50 pps
Packet count: 77, Throughput: 0.50 pps
Packet count: 81, Throughput: 0.50 pps
Packet count: 86, Throughput: 0.63 pps
Packet count: 90, Throughput: 0.50 pps
Packet count: 95, Throughput: 0.63 pps
Packet count: 99, Throughput: 0.50 pps
Packet count: 103, Throughput: 0.50 pps
Packet count: 108, Throughput: 0.63 pps
Packet count: 113, Throughput: 0.63 pps
Packet count: 117, Throughput: 0.50 pps
Packet count: 121, Throughput: 0.50 pps
Packet count: 125, Throughput: 0.50 pps
