Packet 1: delay_time=256ms, response=PSTART 27-02-2023 20:09:54 PSTOP
Packet 2: delay_time=260ms, response=PSTART 27-02-2023 20:09:54 PSTOP
Packet 3: delay_time=245ms, response=PSTART 27-02-2023 20:09:54 PSTOP
Packet 4: delay_time=252ms, response=PSTART 27-02-2023 20:09:55 PSTOP
Packet 5: delay_time=250ms, response=PSTART 27-02-2023 20:09:55 PSTOP
Packet 6: delay_time=245ms, response=PSTART 27-02-2023 20:09:55 PSTOP
Packet 7: delay_time=245ms, response=PSTART 27-02-2023 20:09:55 PSTOP
Packet 8: delay_time=247ms, response=PSTART 27-02-2023 20:09:56 PSTOP
Packet 9: delay_time=249ms, response=PSTART 27-02-2023 20:09:56 PSTOP
Packet 10: delay_time=247ms, response=PSTART 27-02-2023 20:09:56 PSTOP
Packet 11: delay_time=247ms, response=PSTART 27-02-2023 20:09:56 PSTOP
Packet 12: delay_time=245ms, response=PSTART 27-02-2023 20:09:57 PSTOP
Packet 13: delay_time=249ms, response=PSTART 27-02-2023 20:09:57 PSTOP
Packet 14: delay_time=248ms, response=PSTART 27-02-2023 20:09:57 PSTOP
Packet 15: delay_time=245ms, response=PSTART 27-02-2023 20:09:57 PSTOP
Packet 16: delay_time=247ms, response=PSTART 27-02-2023 20:09:58 PSTOP
Packet 17: delay_time=251ms, response=PSTART 27-02-2023 20:09:58 PSTOP
Packet 18: delay_time=247ms, response=PSTART 27-02-2023 20:09:58 PSTOP
Packet 19: delay_time=246ms, response=PSTART 27-02-2023 20:09:58 PSTOP
Packet 20: delay_time=245ms, response=PSTART 27-02-2023 20:09:59 PSTOP
Packet 21: delay_time=253ms, response=PSTART 27-02-2023 20:09:59 PSTOP
Packet 22: delay_time=247ms, response=PSTART 27-02-2023 20:09:59 PSTOP
Packet 23: delay_time=247ms, response=PSTART 27-02-2023 20:09:59 PSTOP
Packet 24: delay_time=248ms, response=PSTART 27-02-2023 20:10:00 PSTOP
Packet 25: delay_time=244ms, response=PSTART 27-02-2023 20:10:00 PSTOP
Packet 26: delay_time=253ms, response=PSTART 27-02-2023 20:10:00 PSTOP
Packet 27: delay_time=241ms, response=PSTART 27-02-2023 20:10:00 PSTOP
Packet 28: delay_time=243ms, response=PSTART 27-02-2023 20:10:01 PSTOP
Packet 29: delay_time=248ms, response=PSTART 27-02-2023 20:10:01 PSTOP
Packet 30: delay_time=237ms, response=PSTART 27-02-2023 20:10:01 PSTOP
Packet 31: delay_time=251ms, response=PSTART 27-02-2023 20:10:01 PSTOP
Packet 32: delay_time=244ms, response=PSTART 27-02-2023 20:10:02 PSTOP
Packet 33: delay_time=242ms, response=PSTART 27-02-2023 20:10:02 PSTOP
Packet 34: delay_time=269ms, response=PSTART 27-02-2023 20:10:02 PSTOP
Packet 35: delay_time=253ms, response=PSTART 27-02-2023 20:10:02 PSTOP
Packet 36: delay_time=245ms, response=PSTART 27-02-2023 20:10:03 PSTOP
Packet 37: delay_time=245ms, response=PSTART 27-02-2023 20:10:03 PSTOP
Packet 38: delay_time=245ms, response=PSTART 27-02-2023 20:10:03 PSTOP
Packet 39: delay_time=249ms, response=PSTART 27-02-2023 20:10:03 PSTOP
Packet 40: delay_time=246ms, response=PSTART 27-02-2023 20:10:04 PSTOP
Packet 41: delay_time=245ms, response=PSTART 27-02-2023 20:10:04 PSTOP
Packet 42: delay_time=239ms, response=PSTART 27-02-2023 20:10:04 PSTOP
Packet 43: delay_time=254ms, response=PSTART 27-02-2023 20:10:04 PSTOP
Packet 44: delay_time=229ms, response=PSTART 27-02-2023 20:10:05 PSTOP
Packet 45: delay_time=246ms, response=PSTART 27-02-2023 20:10:05 PSTOP
Packet 46: delay_time=246ms, response=PSTART 27-02-2023 20:10:05 PSTOP
Packet 47: delay_time=253ms, response=PSTART 27-02-2023 20:10:05 PSTOP
Packet 48: delay_time=240ms, response=PSTART 27-02-2023 20:10:06 PSTOP
Packet 49: delay_time=239ms, response=PSTART 27-02-2023 20:10:06 PSTOP
Packet 50: delay_time=264ms, response=PSTART 27-02-2023 20:10:06 PSTOP
Packet 51: delay_time=230ms, response=PSTART 27-02-2023 20:10:06 PSTOP
Packet 52: delay_time=250ms, response=PSTART 27-02-2023 20:10:07 PSTOP
Packet 53: delay_time=252ms, response=PSTART 27-02-2023 20:10:07 PSTOP
Packet 54: delay_time=247ms, response=PSTART 27-02-2023 20:10:07 PSTOP
Packet 55: delay_time=239ms, response=PSTART 27-02-2023 20:10:07 PSTOP
Packet 56: delay_time=257ms, response=PSTART 27-02-2023 20:10:08 PSTOP
Packet 57: delay_time=239ms, response=PSTART 27-02-2023 20:10:08 PSTOP
Packet 58: delay_time=248ms, response=PSTART 27-02-2023 20:10:08 PSTOP
Packet 59: delay_time=249ms, response=PSTART 27-02-2023 20:10:08 PSTOP
Packet 60: delay_time=251ms, response=PSTART 27-02-2023 20:10:09 PSTOP
Packet 61: delay_time=251ms, response=PSTART 27-02-2023 20:10:09 PSTOP
Packet 62: delay_time=266ms, response=PSTART 27-02-2023 20:10:09 PSTOP
Packet 63: delay_time=250ms, response=PSTART 27-02-2023 20:10:09 PSTOP
Packet 64: delay_time=258ms, response=PSTART 27-02-2023 20:10:10 PSTOP
Packet 65: delay_time=245ms, response=PSTART 27-02-2023 20:10:10 PSTOP
Packet 66: delay_time=246ms, response=PSTART 27-02-2023 20:10:10 PSTOP
Packet 67: delay_time=245ms, response=PSTART 27-02-2023 20:10:10 PSTOP
Packet 68: delay_time=247ms, response=PSTART 27-02-2023 20:10:11 PSTOP
Packet 69: delay_time=254ms, response=PSTART 27-02-2023 20:10:11 PSTOP
Packet 70: delay_time=251ms, response=PSTART 27-02-2023 20:10:11 PSTOP
Packet 71: delay_time=243ms, response=PSTART 27-02-2023 20:10:11 PSTOP
Packet 72: delay_time=243ms, response=PSTART 27-02-2023 20:10:12 PSTOP
Packet 73: delay_time=252ms, response=PSTART 27-02-2023 20:10:12 PSTOP
Packet 74: delay_time=245ms, response=PSTART 27-02-2023 20:10:12 PSTOP
Packet 75: delay_time=244ms, response=PSTART 27-02-2023 20:10:12 PSTOP
Packet 76: delay_time=259ms, response=PSTART 27-02-2023 20:10:13 PSTOP
Packet 77: delay_time=253ms, response=PSTART 27-02-2023 20:10:13 PSTOP
Packet 78: delay_time=240ms, response=PSTART 27-02-2023 20:10:13 PSTOP
Packet 79: delay_time=246ms, response=PSTART 27-02-2023 20:10:13 PSTOP
