Packet count: 33, Throughput: 4.13 pps
Packet count: 66, Throughput: 4.13 pps
Packet count: 99, Throughput: 4.13 pps
Packet count: 132, Throughput: 4.13 pps
Packet count: 165, Throughput: 4.13 pps
Packet count: 198, Throughput: 4.13 pps
Packet count: 231, Throughput: 4.13 pps
Packet count: 264, Throughput: 4.13 pps
Packet count: 297, Throughput: 4.13 pps
Packet count: 330, Throughput: 4.13 pps
Packet count: 363, Throughput: 4.13 pps
Packet count: 396, Throughput: 4.13 pps
Packet count: 429, Throughput: 4.13 pps
Packet count: 462, Throughput: 4.13 pps
Packet count: 495, Throughput: 4.13 pps
Packet count: 528, Throughput: 4.13 pps
Packet count: 561, Throughput: 4.13 pps
Packet count: 594, Throughput: 4.13 pps
Packet count: 627, Throughput: 4.13 pps
Packet count: 660, Throughput: 4.13 pps
Packet count: 693, Throughput: 4.13 pps
Packet count: 726, Throughput: 4.13 pps
Packet count: 759, Throughput: 4.13 pps
Packet count: 792, Throughput: 4.13 pps
Packet count: 825, Throughput: 4.13 pps
Packet count: 858, Throughput: 4.13 pps
Packet count: 891, Throughput: 4.13 pps
Packet count: 924, Throughput: 4.13 pps
Packet count: 957, Throughput: 4.13 pps
